GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US13001,13001,"Appling County, Georgia",6862,337,6438,358,5660,346,778,203,588,180,112,72,22,37,56,90,0,20,20,33,20,33,0,20,0,20,0,20,0,20,0,20,0,20,0,20,161,117,68,54,175,76
0500000US13003,13003,"Atkinson County, Georgia",3350,194,3231,191,2755,200,476,116,319,86,63,45,47,31,43,46,4,7,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,48,42,29,23,42,30
0500000US13005,13005,"Bacon County, Georgia",4352,306,4238,295,3611,318,627,178,447,150,169,128,3,5,7,12,1,2,56,57,56,57,0,20,0,20,0,20,0,20,0,20,0,20,0,20,29,32,0,20,29,22
0500000US13007,13007,"Baker County, Georgia",1308,157,1271,157,1141,163,130,63,52,36,3,5,0,13,3,4,72,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,20,16,18,5,7
0500000US13009,13009,"Baldwin County, Georgia",16485,756,15327,778,13693,828,1634,389,1315,371,211,111,33,53,75,69,0,27,44,50,42,50,0,27,2,4,0,27,0,27,32,46,0,27,8,14,592,181,225,125,257,102
0500000US13011,13011,"Banks County, Georgia",7594,381,7159,377,6307,398,852,169,453,113,250,97,62,41,54,46,33,50,0,20,0,20,0,20,0,20,0,20,0,20,0,20,21,27,0,20,134,81,40,33,240,93
0500000US13013,13013,"Barrow County, Georgia",31979,760,30452,786,27321,859,3131,414,2273,390,338,129,180,85,291,122,49,43,64,38,54,34,0,30,0,30,10,16,0,30,29,39,30,28,35,35,150,70,159,70,1060,241
0500000US13015,13015,"Bartow County, Georgia",44727,1136,41069,1191,37187,1149,3882,520,3045,461,631,239,172,103,12,19,22,31,315,169,281,167,34,54,0,30,0,30,0,30,107,100,17,27,0,30,273,153,682,226,2264,402
0500000US13017,13017,"Ben Hill County, Georgia",5601,417,5379,417,4703,409,676,198,465,165,62,41,0,20,19,30,130,99,0,20,0,20,0,20,0,20,0,20,0,20,0,20,17,21,35,42,86,72,59,54,25,22
0500000US13019,13019,"Berrien County, Georgia",6871,382,6478,393,5609,360,869,212,558,182,148,83,68,66,52,36,43,34,15,23,15,23,0,20,0,20,0,20,0,20,0,20,13,16,22,25,160,64,88,57,95,58
0500000US13021,13021,"Bibb County, Georgia",59054,955,54154,1039,48212,1045,5942,550,4443,537,677,233,329,153,338,208,155,77,656,148,641,147,0,30,15,16,0,30,0,30,110,70,62,41,65,45,1236,242,1128,257,1643,265
0500000US13023,13023,"Bleckley County, Georgia",4089,296,3882,289,3398,314,484,167,429,163,20,26,0,20,18,20,17,22,5,11,5,11,0,20,0,20,0,20,0,20,0,20,0,20,12,19,62,42,15,20,113,69
0500000US13025,13025,"Brantley County, Georgia",6451,426,5931,486,5290,464,641,175,532,166,94,70,15,21,0,20,0,20,153,144,153,144,0,20,0,20,0,20,0,20,0,20,0,20,0,20,68,63,36,45,263,147
0500000US13027,13027,"Brooks County, Georgia",5533,304,5057,303,4477,295,580,143,467,145,72,39,23,20,18,16,0,20,17,26,17,26,0,20,0,20,0,20,0,20,0,20,1,2,4,15,40,32,59,41,355,136
0500000US13029,13029,"Bryan County, Georgia",15480,453,14508,527,12941,565,1567,277,1241,226,222,145,91,64,0,27,13,14,0,27,0,27,0,27,0,27,0,27,0,27,0,27,51,33,107,95,311,173,187,147,316,109
0500000US13031,13031,"Bulloch County, Georgia",31383,1022,28209,1042,24943,1073,3266,633,2600,593,461,181,128,102,29,47,48,55,414,268,414,268,0,30,0,30,0,30,0,30,0,30,92,71,179,113,659,178,255,108,1575,357
0500000US13033,13033,"Burke County, Georgia",8552,378,8146,374,7372,391,774,231,648,192,114,92,4,4,1,3,7,12,13,20,13,20,0,24,0,24,0,24,0,24,0,24,0,24,30,47,83,54,76,62,204,98
0500000US13035,13035,"Butts County, Georgia",8562,519,7993,469,7061,525,932,296,604,219,266,158,8,17,41,47,13,22,0,24,0,24,0,24,0,24,0,24,0,24,0,24,2,5,0,24,115,95,91,70,361,181
0500000US13037,13037,"Calhoun County, Georgia",1645,166,1416,179,1229,184,187,65,123,62,59,34,5,9,0,18,0,18,10,11,7,10,3,7,0,18,0,18,0,18,0,18,0,18,0,18,64,62,1,4,154,120
0500000US13039,13039,"Camden County, Georgia",23783,698,21718,779,19926,801,1792,379,1366,300,260,160,152,105,9,14,5,7,34,50,34,50,0,30,0,30,0,30,0,30,0,30,158,76,55,51,885,271,300,125,633,173
0500000US13043,13043,"Candler County, Georgia",4215,244,3996,242,3491,236,505,183,402,166,100,64,0,20,3,5,0,20,1,4,1,4,0,20,0,20,0,20,0,20,0,20,0,20,0,20,52,42,79,51,87,47
0500000US13045,13045,"Carroll County, Georgia",47754,1058,45015,1161,39026,1361,5989,760,4495,712,750,258,182,91,299,170,263,139,169,125,121,105,21,33,5,10,0,30,22,34,99,68,73,56,59,54,582,193,470,249,1287,295
0500000US13047,13047,"Catoosa County, Georgia",30445,815,29072,865,26540,936,2532,477,2168,421,143,76,172,164,49,75,0,30,5,6,5,6,0,30,0,30,0,30,0,30,0,30,104,131,11,19,196,123,105,72,952,260
0500000US13049,13049,"Charlton County, Georgia",4601,462,4228,443,3590,439,638,208,579,205,41,35,15,17,0,20,3,5,13,23,13,23,0,20,0,20,0,20,0,20,0,20,11,18,18,29,23,22,86,89,222,121
0500000US13051,13051,"Chatham County, Georgia",130262,1814,115273,1669,102770,1739,12503,978,10242,868,1688,386,315,149,101,80,157,81,3517,557,3397,557,39,51,37,53,18,29,26,28,223,126,258,115,1437,265,3432,437,1183,287,4939,534
0500000US13053,13053,"Chattahoochee County, Georgia",6670,294,3611,378,3153,356,458,139,228,109,110,74,118,74,0,20,2,7,20,22,20,22,0,20,0,20,0,20,0,20,19,27,11,17,26,28,766,281,51,52,2166,397
