GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US01001,01001,"Autauga County, Alabama",24349,649,23297,706,21262,764,2035,308,1520,259,342,131,133,91,40,39,0,89,42,41,42,41,0,89,0,89,0,89,0,89,0,89,122,53,12,19,198,119,77,61,601,225
0500000US01003,01003,"Baldwin County, Alabama",78770,1479,73861,1611,65382,1861,8479,1003,5992,817,1729,460,519,411,163,102,76,43,159,91,159,91,0,89,0,89,0,89,0,89,0,89,177,85,327,236,1186,392,472,185,2588,406
0500000US01005,01005,"Barbour County, Alabama",9447,614,8817,608,7404,504,1413,249,1057,228,167,94,101,67,52,68,36,49,20,28,20,28,0,89,0,89,0,89,0,89,0,89,14,27,18,21,220,94,132,92,226,95
0500000US01007,01007,"Bibb County, Alabama",8930,479,8562,499,7428,500,1134,249,752,210,143,95,108,80,131,140,0,89,53,69,53,69,0,89,0,89,0,89,0,89,0,89,42,61,0,89,28,43,76,61,169,123
0500000US01009,01009,"Blount County, Alabama",23566,701,22480,727,18857,725,3623,450,2598,403,476,199,318,146,201,149,30,43,65,57,65,57,0,89,0,89,0,89,0,89,0,89,6,9,0,89,293,173,37,29,685,176
0500000US01011,01011,"Bullock County, Alabama",3910,464,3690,402,3096,401,594,219,471,173,79,116,44,62,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,182,127,25,38,13,13
0500000US01013,01013,"Butler County, Alabama",7833,422,7551,395,6900,393,651,164,510,155,92,49,31,28,18,20,0,89,33,23,33,23,0,89,0,89,0,89,0,89,0,89,2,3,0,89,59,44,104,67,84,53
0500000US01015,01015,"Calhoun County, Alabama",46580,1033,44515,996,39740,1064,4775,532,3375,482,879,240,276,126,157,127,88,73,142,88,142,88,0,89,0,89,0,89,0,89,7,14,202,107,68,45,407,131,462,156,777,191
0500000US01017,01017,"Chambers County, Alabama",13218,511,12669,507,10925,516,1744,347,1474,309,183,126,67,75,5,8,15,22,28,33,28,33,0,89,0,89,0,89,0,89,0,89,0,89,0,89,61,31,76,56,384,142
0500000US01019,01019,"Cherokee County, Alabama",10057,460,9592,463,8222,501,1370,263,1193,226,147,111,0,89,18,28,12,22,3,5,3,5,0,89,0,89,0,89,0,89,0,89,45,41,0,89,52,43,222,142,143,89
0500000US01021,01021,"Chilton County, Alabama",17772,642,17172,663,14214,625,2958,482,2178,373,460,157,297,181,8,10,15,18,22,27,22,27,0,89,0,89,0,89,0,89,0,89,18,24,30,31,168,112,131,89,231,85
0500000US01023,01023,"Choctaw County, Alabama",4257,296,4048,272,3372,271,676,144,304,116,198,85,145,80,29,37,0,89,20,26,18,26,0,89,2,3,0,89,0,89,0,89,0,89,0,89,33,31,55,40,101,69
0500000US01025,01025,"Clarke County, Alabama",8391,503,8173,507,7387,552,786,259,560,227,193,91,29,32,0,89,4,7,34,39,34,39,0,89,0,89,0,89,0,89,0,89,0,89,7,10,48,43,53,53,76,55
0500000US01027,01027,"Clay County, Alabama",5347,325,5004,314,4237,334,767,197,506,163,108,72,113,77,40,40,0,89,21,25,21,25,0,89,0,89,0,89,0,89,0,89,0,89,0,89,56,44,25,19,241,122
0500000US01029,01029,"Cleburne County, Alabama",5816,387,5408,366,4524,328,884,239,761,232,69,47,37,53,0,89,17,16,7,10,7,10,0,89,0,89,0,89,0,89,0,89,12,18,0,89,108,89,47,55,234,98
0500000US01031,01031,"Coffee County, Alabama",20660,583,19500,571,17496,613,2004,329,1438,258,351,208,198,112,6,8,11,12,23,23,23,23,0,89,0,89,0,89,0,89,0,89,51,35,13,14,338,121,240,85,495,136
0500000US01033,01033,"Colbert County, Alabama",21972,637,21083,660,19053,768,2030,369,1748,340,117,62,107,76,40,42,18,21,55,50,32,30,0,89,0,89,23,39,0,89,27,25,48,44,0,89,205,95,186,98,368,100
0500000US01035,01035,"Conecuh County, Alabama",3970,477,3905,486,3459,465,446,217,401,217,39,44,6,12,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,6,9,39,48,20,34
0500000US01037,01037,"Coosa County, Alabama",4207,291,4005,292,3486,298,519,174,449,166,45,43,25,34,0,89,0,89,21,23,21,23,0,89,0,89,0,89,0,89,0,89,0,89,0,89,13,17,59,47,109,76
0500000US01039,01039,"Covington County, Alabama",15060,618,13650,610,12041,608,1609,315,1236,264,328,158,23,23,0,89,22,35,19,24,12,16,7,16,0,89,0,89,0,89,0,89,23,23,0,89,355,124,641,173,372,139
0500000US01041,01041,"Crenshaw County, Alabama",5882,251,5309,255,4647,288,662,182,418,128,113,74,24,27,12,18,95,70,0,89,0,89,0,89,0,89,0,89,0,89,0,89,23,33,6,10,97,49,59,43,388,158
0500000US01043,01043,"Cullman County, Alabama",32263,795,30895,802,26213,881,4682,614,2854,456,729,243,446,149,492,394,161,89,38,30,38,30,0,89,0,89,0,89,0,89,0,89,60,41,0,89,330,120,224,116,716,190
0500000US01045,01045,"Dale County, Alabama",21689,541,20234,556,17929,591,2305,380,1725,335,290,97,236,133,46,41,8,9,77,58,77,58,0,89,0,89,0,89,0,89,33,64,61,35,8,13,525,143,195,97,556,176
0500000US01047,01047,"Dallas County, Alabama",14510,689,13734,693,11836,698,1898,355,1468,337,238,119,159,95,6,10,27,24,14,24,14,24,0,89,0,89,0,89,0,89,72,46,0,89,7,11,249,121,152,84,282,129
0500000US01049,01049,"DeKalb County, Alabama",28135,752,26912,789,23470,780,3442,488,2681,425,538,198,86,62,118,87,19,25,35,35,31,34,0,89,4,7,0,89,0,89,0,89,34,38,21,35,248,106,174,110,711,202
0500000US01051,01051,"Elmore County, Alabama",33093,1192,31543,1132,28301,981,3242,432,2687,395,435,120,78,66,16,17,26,22,52,45,35,33,0,89,17,30,0,89,0,89,0,89,54,44,24,29,372,172,174,114,874,180
0500000US01053,01053,"Escambia County, Alabama",13029,697,12109,623,10576,602,1533,330,886,194,461,229,75,43,111,76,0,89,48,49,48,49,0,89,0,89,0,89,0,89,0,89,16,19,0,89,140,92,224,88,492,351
0500000US01055,01055,"Etowah County, Alabama",39708,1073,38082,1096,33784,1087,4298,551,3329,499,658,208,168,70,27,34,116,99,83,73,83,73,0,89,0,89,0,89,0,89,0,89,45,37,12,20,258,119,118,49,1110,273
0500000US01057,01057,"Fayette County, Alabama",6630,366,6357,364,5518,406,839,206,590,161,111,61,98,87,8,13,32,48,12,18,12,18,0,89,0,89,0,89,0,89,0,89,0,89,0,89,118,86,21,26,122,71
0500000US01059,01059,"Franklin County, Alabama",13015,495,12674,496,10520,498,2154,321,1469,332,601,212,84,55,0,89,0,89,23,25,23,25,0,89,0,89,0,89,0,89,0,89,0,89,0,89,58,44,107,67,153,67
0500000US01061,01061,"Geneva County, Alabama",10800,548,10137,551,8997,512,1140,261,859,212,149,132,105,87,23,35,4,8,5,11,5,11,0,89,0,89,0,89,0,89,0,89,9,13,0,89,128,71,172,90,349,129
0500000US01063,01063,"Greene County, Alabama",2869,274,2488,278,2111,279,377,151,241,113,7,11,91,75,0,89,38,20,91,77,91,77,0,89,0,89,0,89,0,89,0,89,0,89,0,89,180,130,68,59,42,42
0500000US01065,01065,"Hale County, Alabama",5578,356,5269,343,4648,326,621,150,376,111,114,82,85,49,26,26,20,25,13,15,13,15,0,89,0,89,0,89,0,89,0,89,0,89,6,10,118,104,33,27,139,94
0500000US01067,01067,"Henry County, Alabama",6434,389,6044,391,5653,408,391,161,343,157,35,42,13,22,0,89,0,89,31,41,31,41,0,89,0,89,0,89,0,89,0,89,4,7,0,89,0,89,129,100,226,108
0500000US01069,01069,"Houston County, Alabama",43575,587,41569,569,37994,593,3575,333,2718,224,575,205,181,83,59,42,42,17,135,68,135,68,0,89,0,89,0,89,0,89,66,38,97,31,62,35,239,72,666,124,741,113
