GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US13001,13001,"Appling County, Georgia",18236,18236,18336,18469,18402,18395,18502,18450,18485,18521
0500000US13003,13003,"Atkinson County, Georgia",8375,8382,8365,8373,8273,8285,8243,8375,8320,8342
0500000US13005,13005,"Bacon County, Georgia",11096,11092,11064,11162,11177,11205,11218,11287,11365,11319
0500000US13007,13007,"Baker County, Georgia",3451,3451,3435,3316,3377,3351,3295,3201,3208,3200
0500000US13009,13009,"Baldwin County, Georgia",45720,45840,45691,45147,46499,46166,45853,45518,45190,44906
0500000US13011,13011,"Banks County, Georgia",18395,18389,18421,18267,18153,18244,18248,18382,18309,18634
0500000US13013,13013,"Barrow County, Georgia",69367,69367,69696,69894,70206,71319,72959,75067,77091,79061
0500000US13015,13015,"Bartow County, Georgia",100157,100123,100095,100213,100365,101056,101397,102176,103431,105054
0500000US13017,13017,"Ben Hill County, Georgia",17634,17634,17620,17563,17577,17426,17423,17323,17190,16996
0500000US13019,13019,"Berrien County, Georgia",19286,19286,19356,19381,19166,19061,18821,18988,19014,19186
0500000US13021,13021,"Bibb County, Georgia",155547,155806,155820,156216,156665,155071,154422,154057,153205,152862
0500000US13023,13023,"Bleckley County, Georgia",13063,13063,13033,13080,12888,12740,12712,12717,12898,12830
0500000US13025,13025,"Brantley County, Georgia",18411,18410,18461,18540,18509,18237,18337,18393,18355,18731
0500000US13027,13027,"Brooks County, Georgia",16243,16322,16255,15994,15631,15665,15534,15668,15693,15587
0500000US13029,13029,"Bryan County, Georgia",30233,30213,30376,31271,32258,33038,33678,34798,35842,37060
0500000US13031,13031,"Bulloch County, Georgia",70217,70251,70571,72687,73167,71873,72734,73233,74721,76149
0500000US13033,13033,"Burke County, Georgia",23316,23316,23327,23502,23045,22827,22628,22642,22608,22522
0500000US13035,13035,"Butts County, Georgia",23655,23655,23747,23575,23412,23203,23317,23489,23710,24059
0500000US13037,13037,"Calhoun County, Georgia",6694,6694,6694,6625,6566,6599,6516,6552,6393,6455
0500000US13039,13039,"Camden County, Georgia",50513,50513,50660,50308,51352,51413,51926,52462,52416,53044
0500000US13043,13043,"Candler County, Georgia",10998,10995,11022,11208,11110,10970,10885,10903,10915,10797
0500000US13045,13045,"Carroll County, Georgia",110527,110580,110667,110758,111452,112300,113596,114491,116291,117812
0500000US13047,13047,"Catoosa County, Georgia",63942,63936,64077,64760,64872,65224,65488,65821,66267,66550
0500000US13049,13049,"Charlton County, Georgia",12171,12171,12853,13462,13362,13122,13038,13190,12751,12715
0500000US13051,13051,"Chatham County, Georgia",265128,265128,265846,271870,276503,277963,282858,286819,289390,290501
0500000US13053,13053,"Chattahoochee County, Georgia",11267,11267,11188,11263,12276,12246,11714,11075,10100,10343
0500000US13055,13055,"Chattooga County, Georgia",26015,26015,25950,25677,25619,25044,24859,24896,24833,24770
0500000US13057,13057,"Cherokee County, Georgia",214346,214362,215189,217820,220773,224487,230396,235424,241600,247573
0500000US13059,13059,"Clarke County, Georgia",116714,116754,117481,118433,120135,121094,120721,123875,125018,127064
0500000US13061,13061,"Clay County, Georgia",3183,3183,3174,3159,3103,3012,3070,3072,3006,2962
0500000US13063,13063,"Clayton County, Georgia",259424,259576,259857,262360,265777,264511,267405,273675,280006,285153
0500000US13065,13065,"Clinch County, Georgia",6798,6798,6771,6733,6709,6775,6800,6850,6789,6727
0500000US13067,13067,"Cobb County, Georgia",688078,688070,689595,697433,707549,717201,729904,742023,750477,755754
0500000US13069,13069,"Coffee County, Georgia",42356,42356,42738,43032,43178,43137,42977,43099,43015,43014
0500000US13071,13071,"Colquitt County, Georgia",45498,45497,45649,45852,46127,46252,46029,45665,45671,45835
0500000US13073,13073,"Columbia County, Georgia",124053,124059,125004,128914,132680,136293,139285,144007,147451,151579
0500000US13075,13075,"Cook County, Georgia",17212,17209,17189,17045,16919,17069,17319,17097,17187,17277
0500000US13077,13077,"Coweta County, Georgia",127317,127337,127915,129393,130644,132996,135266,138227,140472,143114
0500000US13079,13079,"Crawford County, Georgia",12630,12630,12616,12615,12612,12511,12435,12393,12291,12295
0500000US13081,13081,"Crisp County, Georgia",23439,23439,23438,23761,23598,23316,23076,22962,22935,22736
0500000US13083,13083,"Dade County, Georgia",16633,16633,16620,16589,16508,16445,16282,16157,16242,16285
0500000US13085,13085,"Dawson County, Georgia",22330,22339,22288,22293,22467,22686,22988,23317,23613,24379
0500000US13087,13087,"Decatur County, Georgia",27842,27842,27813,27657,27456,27407,27194,27083,26715,26716
0500000US13089,13089,"DeKalb County, Georgia",691893,691996,692572,699684,710604,717321,725647,737418,746690,753253
