County,2010,2011,2012,2013,2014,2015,2016,2017,Selected Years Total
Appling,317.6,320.3,402.9,423,366.8,287.2,385.3,329.4,354.1
Atkinson,442.3,190.2,543.2,506.6,729.7,381,350.5,335.7,434
Bacon,478.5,357,580.5,454.7,443.2,398.3,299,353.4,420.2
Baker,644.2,421.4,386.2,778.2,768,"1,037.70",825.4,750,700.2
Baldwin,557.6,594.4,875.6,697.2,653.5,569.7,715.5,558.9,653.6
Banks,249.8,164.4,333,293.2,349.8,373.1,489.2,364.9,327.4
Barrow,457.5,406.2,474.6,533.2,503.8,599.7,500.5,598.3,511.4
Bartow,455.1,468,533.5,493.7,501.3,499.3,517.3,468.3,492.1
Ben Hill,668.4,464,655.7,747.9,"1,025.00",884.9,695.9,829.6,745.6
Berrien,647.6,619.5,625,336,631,406.1,494.9,500.4,532.7
Bibb,619.1,579.8,650,636,662.1,668.7,866.7,926.3,700.2
Bleckley,519.2,391.3,348.5,266.2,328.3,375.7,354.7,389.7,372.2
Brantley,314.6,484.6,500.3,574,423.5,352.2,468.5,453.8,446.4
Brooks,660.5,497.2,655.7,702.5,661.6,855.8,675.7,628.7,666.9
Bryan,385.1,290,403.6,265.4,327.4,241.9,262.2,221.3,296.5
Bulloch,555.6,496.7,594.3,615,663.1,633.2,699.9,558.1,602.1
Burke,962.9,880.7,994.6,955.4,797,747.4,714,745.9,850.8
Butts,426.6,757.3,671.7,453.7,556.3,644.3,600.4,440.6,568.6
Calhoun,"1,388.70","1,305.60","1,030.10",275.9,371.3,432.2,347.9,542.2,718.6
Camden,704.2,745.9,731.5,856.7,661.2,664.1,462.2,475.1,660.8
Candler,852.2,709.5,764.6,228.6,"1,001.10",560.4,669.1,759.5,693.3
Carroll,492.5,524.5,548.5,542,548.7,583.2,547.9,495.7,535.4
Catoosa,93.8,91.4,116.8,110.2,108.2,71.2,114.5,112.7,102.4
Charlton,420.2,335.3,293.3,286.7,209.4,177.4,152,141.6,252
Chatham,701.5,704.5,802.4,753.9,650.7,585.8,618.5,629.6,679.6
Chattahoochee,170.6,195.8,122.7,264.8,160.5,167.1,109.9,135.4,167.3
Chattooga,272.9,229.3,373.2,326.2,401,256.8,318.2,230.1,300.9
Cherokee,270.1,271.2,299.1,271,305.2,270.9,227.6,263,271.8
Clarke,351.4,378.4,424.9,464.3,454,447.9,489.1,465.1,435.4
Clay,189,*,545.6,361.2,225.7,604.9,662.3,776.5,429.6
Clayton,758.8,808.3,965.8,807.7,780.1,682.6,737.1,763.8,787.1
Clinch,544.1,"1,269.00","1,190.80",794.7,"1,376.10",914,951.8,862.2,987.7
Cobb,469.1,479.4,530.9,529.8,525,480.8,504,461.9,497.6
Coffee,609.5,184.3,604.6,779.7,817.5,505.7,495.2,430.1,553.4
Colquitt,626.8,698.9,682.7,590,598.7,567.1,568.8,569.4,612.8
Columbia,250.8,252.9,221.1,250.3,260,215.9,234,243.4,240.8
Cook,481.8,712.4,768.2,714.9,336.9,134.3,460.2,283.6,485.7
Coweta,370.4,369.5,500.3,262.8,329,324.4,419.1,349.4,365.2
Crawford,333.6,254.6,460.3,343.9,331,355.2,446.4,357.9,360.2
Crisp,661.7,687.5,787.9,702.8,784.9,664.3,589.8,607,686.3
Dade,36.1,48.3,30.3,*,42.7,*,43.1,30.7,32.7
Dawson,228.3,276.1,352.3,299.7,217.8,227.4,216.1,196.9,250.9
Decatur,675.9,538,777.9,661.6,727.4,655,563,662.5,657.8
