County,2010,2011,2012,2013,2014,2015,2016,2017
Appling,58,59,74,78,68,53,71,61
Atkinson,37,16,45,42,60,32,29,28
Bacon,53,40,65,51,50,45,34,40
Baker,22,13,13,26,25,33,26,24
Baldwin,255,264,406,321,300,259,323,251
Banks,46,30,61,54,64,69,90,68
Barrow,319,284,333,381,369,452,386,473
Bartow,456,470,537,500,510,513,537,492
Ben Hill,118,82,115,131,179,154,120,141
Berrien,125,120,119,64,118,77,94,96
Bibb,964,907,"1,017",984,"1,019","1,028","1,324","1,416"
Bleckley,68,52,45,34,42,46,46,50
Brantley,58,89,93,105,78,65,86,85
Brooks,107,79,101,109,102,134,106,98
Bryan,117,91,130,88,111,85,95,82
Bulloch,393,362,432,438,478,460,523,425
Burke,225,207,230,219,181,170,162,168
Butts,101,178,158,106,130,152,143,106
Calhoun,93,88,67,18,24,28,22,35
Camden,357,376,376,441,344,346,245,252
Candler,94,80,85,25,109,61,73,82
Carroll,545,583,612,609,626,668,637,584
Catoosa,60,59,76,72,71,47,76,75
Charlton,51,45,39,38,27,23,19,18
Chatham,"1,865","1,913","2,218","2,099","1,844","1,681","1,788","1,829"
Chattahoochee,19,23,16,34,19,19,12,14
Chattooga,71,59,96,82,100,64,79,57
Cherokee,581,592,662,610,705,639,550,651
Clarke,410,444,511,563,549,555,610,591
Clay,6,3,17,11,7,19,20,23
Clayton,"1,970","2,114","2,568","2,134","2,087","1,870","2,060","2,178"
Clinch,37,86,80,54,94,63,65,58
Cobb,"3,237","3,344","3,756","3,800","3,838","3,564","3,771","3,491"
Coffee,258,79,261,337,350,218,213,185
Colquitt,286,319,315,273,276,260,260,261
Columbia,313,324,291,339,362,311,345,369
Cook,83,122,130,122,58,23,79,49
Coweta,474,479,655,350,446,449,589,500
Crawford,42,32,58,43,41,44,55,44
Crisp,155,163,186,164,180,152,134,138
Dade,6,8,5,3,7,2,7,5
Dawson,51,62,79,68,50,53,51,48
Decatur,188,149,214,181,198,178,151,177
DeKalb,"5,213","5,313","6,313","5,684","5,542","5,004","5,350","5,483"
Dodge,104,96,99,86,102,90,88,111
Dooly,54,82,91,78,75,81,76,60
Dougherty,921,937,947,"1,011",948,786,593,430
